species_name	display_name	ah_id	ah_species	description	gprofiler_id	gprofiler_species	rdataclass	rdatadateadded	sourcetype	taxonomyid	title
Myotis myotis	Myotis myotis	AH114913	Myotis myotis	NCBI gene ID based annotations about Myotis myotis	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	51298	org.Myotis_myotis.eg.sqlite
Myripristis murdjan	Myripristis murdjan	AH115273	Myripristis murdjan	NCBI gene ID based annotations about Myripristis murdjan	mmurdjan	Myripristis murdjan	OrgDb	2023-10-20	NCBI/UniProt	586833	org.Myripristis_murdjan.eg.sqlite
Myrmecophaga aculeata	Myrmecophaga aculeata	AH114884	Myrmecophaga aculeata	NCBI gene ID based annotations about Myrmecophaga aculeata	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	9261	org.Myrmecophaga_aculeata.eg.sqlite
Mytilidion resinicola	Mytilidion resinicola	AH115874	Mytilidion resinicola	NCBI gene ID based annotations about Mytilidion resinicola	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	574789	org.Mytilidion_resinicola.eg.sqlite
Mytilus californianus	Mytilus californianus	AH114395	Mytilus californianus	NCBI gene ID based annotations about Mytilus californianus	mcgca021869535v1rs	Mytilus californianus	OrgDb	2023-10-20	NCBI/UniProt	6549	org.Mytilus_californianus.eg.sqlite
Myzus (Nectarosiphon)_persicae	Myzus (Nectarosiphon)_persicae	AH115853	Myzus (Nectarosiphon)_persicae	NCBI gene ID based annotations about Myzus (Nectarosiphon)_persicae	NA	NA	OrgDb	2023-10-20	NCBI/UniProt	13164	org.Myzus_(Nectarosiphon)_persicae.eg.sqlite
Teladorsagia circumcincta	Teladorsagia circumcincta	NA	NA	NA	tecircprjna72569	Teladorsagia circumcincta	NA	NA	NA	45464	NA
Angiostrongylus cantonensis	Angiostrongylus cantonensis (PRJEB493)	NA	NA	NA	ancantprjeb493	Angiostrongylus cantonensis	NA	NA	NA	6313	NA
Schistosoma curassoni	Schistosoma curassoni (PRJEB44434)	NA	NA	NA	sccuraprjeb44434	Schistosoma curassoni	NA	NA	NA	6186	NA
Meloidogyne chitwoodi	Meloidogyne chitwoodi	NA	NA	NA	race1prjna666745	Meloidogyne chitwoodi	NA	NA	NA	59747	NA
Dracunculus medinensis	Dracunculus medinensis	NA	NA	NA	drmediprjeb500	Dracunculus medinensis	NA	NA	NA	318479	NA
Gyrodactylus bullatarudis	Gyrodactylus bullatarudis	NA	NA	NA	gybullprjna532341	Gyrodactylus bullatarudis	NA	NA	NA	82660	NA
Sabatieria punctata	Sabatieria punctata	NA	NA	NA	sapuncprjna953805	Sabatieria punctata	NA	NA	NA	320140	NA
Panagrolaimus davidi	Panagrolaimus davidi	NA	NA	NA	padaviprjeb32708	Panagrolaimus davidi	NA	NA	NA	227884	NA
Oesophagostomum dentatum	Oesophagostomum dentatum	NA	NA	NA	oedentprjna72579	Oesophagostomum dentatum	NA	NA	NA	61180	NA
Onchocerca flexuosa	Onchocerca flexuosa (PRJNA230512)	NA	NA	NA	onflexprjna230512	Onchocerca flexuosa	NA	NA	NA	387005	NA
Ancylostoma duodenale	Ancylostoma duodenale	NA	NA	NA	anduodprjna72581	Ancylostoma duodenale	NA	NA	NA	51022	NA
Haemonchus contortus	Haemonchus contortus (PRJNA205202)	NA	NA	NA	hacontprjna205202	Haemonchus contortus	NA	NA	NA	6289	NA
Gyrodactylus salaris	Gyrodactylus salaris	NA	NA	NA	gysalaprjna244375	Gyrodactylus salaris	NA	NA	NA	37629	NA
Schistosoma haematobium	Schistosoma haematobium (TD2PRJEB44434)	NA	NA	NA	schhaetd2	Schistosoma haematobium	NA	NA	NA	6185	NA
Steinernema hermaphroditum	Steinernema hermaphroditum	NA	NA	NA	sthermprjna982879	Steinernema hermaphroditum	NA	NA	NA	289476	NA
Brugia pahangi	Brugia pahangi	NA	NA	NA	brpahaprjeb497	Brugia pahangi	NA	NA	NA	6280	NA
Ancylostoma caninum	Ancylostoma caninum	NA	NA	NA	ancaniprjna72585	Ancylostoma caninum	NA	NA	NA	29170	NA
Bradynema listronoti	Bradynema listronoti	NA	NA	NA	brlistprjna842945	Bradynema listronoti	NA	NA	NA	413010	NA
Heterorhabditis bacteriophora	Heterorhabditis bacteriophora	NA	NA	NA	hebactprjna13977	Heterorhabditis bacteriophora	NA	NA	NA	37862	NA
Trichinella sp. T8	Trichinella sp. T8	NA	NA	NA	trt8prjna257433	Trichinella sp. T8	NA	NA	NA	92180	NA
Theristus sp. LFF4_11	Theristus lff411	NA	NA	NA	thlff4prjna953805	Theristus sp. LFF4_11	NA	NA	NA	3043726	NA
Rodentolepis nana	Hymenolepis nana	NA	NA	NA	hynanaprjeb508	Rodentolepis nana	NA	NA	NA	102285	NA
Paralinhomoeus sp. GSCO2_6	Paralinhomoeus gsco26	NA	NA	NA	pagscoprjna953805	Paralinhomoeus sp. GSCO2_6	NA	NA	NA	3043723	NA
Dicrocoelium dendriticum	Dicrocoelium dendriticum	NA	NA	NA	didendprjeb44434	Dicrocoelium dendriticum	NA	NA	NA	57078	NA
Paragonimus kellicotti	Paragonimus kellicotti	NA	NA	NA	pakellprjna179523	Paragonimus kellicotti	NA	NA	NA	100269	NA
Microlaimidae sp. YZB2_3	Microlaimidae yzb23	NA	NA	NA	miyzb2prjna953805	Microlaimidae sp. YZB2_3	NA	NA	NA	3043722	NA
Protopolystoma xenopodis	Protopolystoma xenopodis	NA	NA	NA	prxenoprjeb1201	Protopolystoma xenopodis	NA	NA	NA	117903	NA
Mesodorylaimus sp. YZB2_4	Mesodorylaimus yzb24	NA	NA	NA	meyzb2prjna953805	Mesodorylaimus sp. YZB2_4	NA	NA	NA	3043728	NA
Strongyloides venezuelensis	Strongyloides venezuelensis	NA	NA	NA	stveneprjeb530	Strongyloides venezuelensis	NA	NA	NA	75913	NA
Brugia timori	Brugia timori	NA	NA	NA	brtimoprjeb4663	Brugia timori	NA	NA	NA	42155	NA
Parascaris univalens	Parascaris univalens	NA	NA	NA	paunivprjna386823	Parascaris univalens	NA	NA	NA	6257	NA
Bursaphelenchus okinawaensis	Bursaphelenchus okinawaensis	NA	NA	NA	buokinprjeb40023	Bursaphelenchus okinawaensis	NA	NA	NA	465554	NA
Echinococcus multilocularis	Echinococcus multilocularis	NA	NA	NA	ecmultprjeb122	Echinococcus multilocularis	NA	NA	NA	6211	NA
Dirofilaria immitis	Dirofilaria immitis (PRJNA723804)	NA	NA	NA	diimmiprjna723804	Dirofilaria immitis	NA	NA	NA	6287	NA
Pristionchus pacificus	Pristionchus pacificus	NA	NA	NA	prpaciprjna12644	Pristionchus pacificus	NA	NA	NA	54126	NA
Thelazia callipaeda	Thelazia callipaeda	NA	NA	NA	thcallprjeb1205	Thelazia callipaeda	NA	NA	NA	103827	NA
Acanthocheilonema viteae	Acanthocheilonema viteae	NA	NA	NA	acviteprjeb1697	Acanthocheilonema viteae	NA	NA	NA	6277	NA
Parascaris equorum	Parascaris equorum	NA	NA	NA	paequoprjeb514	Parascaris equorum	NA	NA	NA	6256	NA
Anisakis simplex	Anisakis simplex	NA	NA	NA	ansimpprjeb496	Anisakis simplex	NA	NA	NA	6269	NA
Panagrolaimus sp. PS1159	Panagrolaimus sp. 1159	NA	NA	NA	pasp11prjeb32708	Panagrolaimus sp. PS1159	NA	NA	NA	55785	NA
Nippostrongylus brasiliensis	Nippostrongylus brasiliensis (PRJNA994163)	NA	NA	NA	nibrasprjna994163	Nippostrongylus brasiliensis	NA	NA	NA	27835	NA
Allodiplogaster sudhausi	Allodiplogaster sudhausi	NA	NA	NA	alsudhprjeb48369	Allodiplogaster sudhausi	NA	NA	NA	2761625	NA
Taenia saginata	Taenia saginata	NA	NA	NA	tasagiprjna71493	Taenia saginata	NA	NA	NA	6206	NA
Heterodera schachtii	Heterodera schachtii (PRJNA767548)	NA	NA	NA	heschaprjna767548	Heterodera schachtii	NA	NA	NA	97005	NA
Caenorhabditis sinica	Caenorhabditis sinica	NA	NA	NA	casiniprjna194557	Caenorhabditis sinica	NA	NA	NA	1550068	NA
Trichinella sp. T6	Trichinella sp. T6	NA	NA	NA	trt6prjna257433	Trichinella sp. T6	NA	NA	NA	92179	NA
Schistosoma rodhaini	Schistosoma rodhaini (TD2PRJEB44434)	NA	NA	NA	schrodtd2	Schistosoma rodhaini	NA	NA	NA	6188	NA
Caenorhabditis latens	Caenorhabditis latens	NA	NA	NA	calateprjna248912	Caenorhabditis latens	NA	NA	NA	1503980	NA
Epsilonema sp. ZAB3_2	Epsilonema zab32	NA	NA	NA	epzab3prjna953805	Epsilonema sp. ZAB3_2	NA	NA	NA	3043721	NA
Pristionchus fissidentatus	Pristionchus fissidentatus	NA	NA	NA	prfissprjeb27334	Pristionchus fissidentatus	NA	NA	NA	1538716	NA
Meloidogyne hapla	Meloidogyne hapla	NA	NA	NA	mehaplprjna29083	Meloidogyne hapla	NA	NA	NA	6305	NA
Meloidogyne javanica	Meloidogyne javanica (PRJEB8714)	NA	NA	NA	mejavaprjeb8714	Meloidogyne javanica	NA	NA	NA	6303	NA
Caenorhabditis angaria	Caenorhabditis angaria	NA	NA	NA	caangaprjna51225	Caenorhabditis angaria	NA	NA	NA	860376	NA
Gongylonema pulchrum	Gongylonema pulchrum	NA	NA	NA	gopulcprjeb505	Gongylonema pulchrum	NA	NA	NA	637853	NA
Pristionchus japonicus	Pristionchus japonicus	NA	NA	NA	prjapoprjeb27334	Pristionchus japonicus	NA	NA	NA	1195657	NA
Hymenolepis diminuta	Hymenolepis diminuta (PRJEB30942)	NA	NA	NA	hydimiprjeb30942	Hymenolepis diminuta	NA	NA	NA	6216	NA
Angiostrongylus costaricensis	Angiostrongylus costaricensis	NA	NA	NA	ancostprjeb494	Angiostrongylus costaricensis	NA	NA	NA	334426	NA
Elaeophora elaphi	Elaeophora elaphi	NA	NA	NA	elelapprjeb502	Elaeophora elaphi	NA	NA	NA	1147741	NA
Haemonchus placei	Haemonchus placei	NA	NA	NA	haplacprjeb509	Haemonchus placei	NA	NA	NA	6290	NA
Mesorhabditis belari	Mesorhabditis belari	NA	NA	NA	mebelaprjeb61636	Mesorhabditis belari	NA	NA	NA	2138241	NA
Hymenolepis microstoma	Hymenolepis microstoma	NA	NA	NA	hymicrprjeb124	Hymenolepis microstoma	NA	NA	NA	85433	NA
Trichinella britovi	Trichinella britovi	NA	NA	NA	trbritprjna257433	Trichinella britovi	NA	NA	NA	45882	NA
Steinernema monticolum	Steinernema monticolum	NA	NA	NA	stmontprjna205067	Steinernema monticolum	NA	NA	NA	90984	NA
Trileptium ribeirensis	Trileptium ribeirensis	NA	NA	NA	trribeprjna953805	Trileptium ribeirensis	NA	NA	NA	3040840	NA
Oscheius tipulae	Oscheius tipulae (PRJNA644888)	NA	NA	NA	ostipuprjna644888	Oscheius tipulae	NA	NA	NA	141969	NA
Diploscapter coronatus	Diploscapter coronatus	NA	NA	NA	dicoroprjdb3143	Diploscapter coronatus	NA	NA	NA	288516	NA
Trichuris trichiura	Trichuris trichiura	NA	NA	NA	trtricprjeb535	Trichuris trichiura	NA	NA	NA	36087	NA
Schistosoma mansoni	Schistosoma mansoni	NA	NA	NA	scmansprjea36577	Schistosoma mansoni	NA	NA	NA	6183	NA
Globodera rostochiensis	Globodera rostochiensis (PRJEB13504)	NA	NA	NA	glrostprjeb13504	Globodera rostochiensis	NA	NA	NA	31243	NA
Schistosoma guineensis	Schistosoma guineensis	NA	NA	NA	scguinprjeb44434	Schistosoma guineensis	NA	NA	NA	393876	NA
Caenorhabditis sulstoni	Caenorhabditis sulstoni	NA	NA	NA	casulsprjeb12601	Caenorhabditis sulstoni	NA	NA	NA	2305862	NA
Ptycholaimellus sp. GST1_10	Ptycholaimellus gssp. T110	NA	NA	NA	ptgst1prjna953805	Ptycholaimellus sp. GST1_10	NA	NA	NA	3043725	NA
Schistosoma spindalis	Schistosoma spindale	NA	NA	NA	scspinprjeb44434	Schistosoma spindalis	NA	NA	NA	6189	NA
Strongyloides stercoralis	Strongyloides stercoralis	NA	NA	NA	ststerprjna930454	Strongyloides stercoralis	NA	NA	NA	6248	NA
Trichobilharzia szidati	Trichobilharzia szidati	NA	NA	NA	trszidprjeb44434	Trichobilharzia szidati	NA	NA	NA	157070	NA
Enterobius vermicularis	Enterobius vermicularis	NA	NA	NA	envermprjeb503	Enterobius vermicularis	NA	NA	NA	51028	NA
Setaria digitata	Setaria digitata	NA	NA	NA	sedigiprjna479729	Setaria digitata	NA	NA	NA	48799	NA
Trichinella zimbabwensis	Trichinella zimbabwensis	NA	NA	NA	trzimbprjna257433	Trichinella zimbabwensis	NA	NA	NA	268475	NA
Schistocephalus solidus	Schistocephalus solidus	NA	NA	NA	scsoliprjeb527	Schistocephalus solidus	NA	NA	NA	70667	NA
Echinococcus granulosus	Echinococcus granulosus (PRJEB121)	NA	NA	NA	ecgranprjeb121	Echinococcus granulosus	NA	NA	NA	6210	NA
Mesocestoides corti	Mesocestoides corti	NA	NA	NA	mecortprjeb510	Mesocestoides corti	NA	NA	NA	53468	NA
Mesorhabditis spiculigera	Mesorhabditis spiculigera	NA	NA	NA	mespicprjeb59059	Mesorhabditis spiculigera	NA	NA	NA	96644	NA
Fasciola gigantica	Fasciola gigantica	NA	NA	NA	fagigaprjna230515	Fasciola gigantica	NA	NA	NA	46835	NA
Trichinella papuae	Trichinella papuae	NA	NA	NA	trpapuprjna257433	Trichinella papuae	NA	NA	NA	268474	NA
Soboliphyme baturini	Soboliphyme baturini	NA	NA	NA	sobatuprjeb516	Soboliphyme baturini	NA	NA	NA	241478	NA
Hydatigera taeniaeformis	Hydatigera taeniaeformis	NA	NA	NA	hytaenprjeb534	Hydatigera taeniaeformis	NA	NA	NA	6205	NA
Caenorhabditis japonica	Caenorhabditis japonica	NA	NA	NA	cajapoprjna12591	Caenorhabditis japonica	NA	NA	NA	281687	NA
Cylicostephanus goldi	Cylicostephanus goldi	NA	NA	NA	cygoldprjeb498	Cylicostephanus goldi	NA	NA	NA	71465	NA
Steinernema scapterisci	Steinernema scapterisci	NA	NA	NA	stscapprjna204942	Steinernema scapterisci	NA	NA	NA	90986	NA
Caenorhabditis becei	Caenorhabditis becei	NA	NA	NA	cabeceprjeb28243	Caenorhabditis becei	NA	NA	NA	2301260	NA
Schistosoma margrebowiei	Schistosoma margrebowiei	NA	NA	NA	scmargprjeb44434	Schistosoma margrebowiei	NA	NA	NA	48269	NA
Echinococcus canadensis	Echinococcus canadensis	NA	NA	NA	eccanaprjeb8992	Echinococcus canadensis	NA	NA	NA	519352	NA
Taenia solium	Taenia solium	NA	NA	NA	tasoliprjna170813	Taenia solium	NA	NA	NA	6204	NA
Parelaphostrongylus tenuis	Parelaphostrongylus tenuis	NA	NA	NA	patenuprjna729714	Parelaphostrongylus tenuis	NA	NA	NA	148309	NA
Koerneria luziae	Koerneria luziae	NA	NA	NA	koluziprjna655932	Koerneria luziae	NA	NA	NA	912562	NA
Pristionchus exspectatus	Pristionchus exspectatus	NA	NA	NA	prexspprjeb46690	Pristionchus exspectatus	NA	NA	NA	1195656	NA
Echinococcus oligarthrus	Echinococcus oligarthrus	NA	NA	NA	ecoligprjeb31222	Echinococcus oligarthrus	NA	NA	NA	6212	NA
Trissonchulus latispiculum	Trissonchulus latispiculum	NA	NA	NA	trlatiprjna953805	Trissonchulus latispiculum	NA	NA	NA	3040841	NA
Fasciolopsis buskii	Fasciolopsis buski	NA	NA	NA	fabuskprjna284521	Fasciolopsis buskii	NA	NA	NA	27845	NA
Caenorhabditis brenneri	Caenorhabditis brenneri	NA	NA	NA	cabrenprjna20035	Caenorhabditis brenneri	NA	NA	NA	135651	NA
Onchocerca volvulus	Onchocerca volvulus	NA	NA	NA	onvolvprjeb513	Onchocerca volvulus	NA	NA	NA	6282	NA
Diploscapter pachys	Diploscapter pachys	NA	NA	NA	dipachprjna280107	Diploscapter pachys	NA	NA	NA	2018661	NA
Romanomermis culicivorax	Romanomermis culicivorax	NA	NA	NA	roculiprjeb1358	Romanomermis culicivorax	NA	NA	NA	13658	NA
Caenorhabditis bovis	Caenorhabditis bovis	NA	NA	NA	caboviprjeb34497	Caenorhabditis bovis	NA	NA	NA	2654633	NA
Laticauda laticaudata	Blue-ringed sea krait	NA	NA	NA	llaticaudata	Laticauda laticaudata	NA	NA	NA	8630	NA
Naja naja	Indian cobra	NA	NA	NA	nnaja	Naja naja	NA	NA	NA	35670	NA
Mus spretus	Western wild mouse	NA	NA	NA	mspretus	Mus spretus	NA	NA	NA	10096	NA
Catagonus wagneri	Chacoan peccary	NA	NA	NA	cwagneri	Catagonus wagneri	NA	NA	NA	51154	NA
Anas platyrhynchos platyrhynchos	Duck	NA	NA	NA	applatyrhynchos	Anas platyrhynchos platyrhynchos	NA	NA	NA	8840	NA
Salvator merianae	Argentine black and white tegu	NA	NA	NA	smerianae	Salvator merianae	NA	NA	NA	96440	NA
Cyprinus carpio carpio	Common carp	NA	NA	NA	cccarpio	Cyprinus carpio carpio	NA	NA	NA	630221	NA
Tetraodon nigroviridis	Tetraodon	NA	NA	NA	tnigroviridis	Tetraodon nigroviridis	NA	NA	NA	99883	NA
Trichinella murrelli	Trichinella murrelli	NA	NA	NA	trmurrprjna257433	Trichinella murrelli	NA	NA	NA	144512	NA
Caenorhabditis quiockensis	Caenorhabditis quiockensis	NA	NA	NA	caquioprjeb11354	Caenorhabditis quiockensis	NA	NA	NA	2305861	NA
Sciurus vulgaris	Eurasian red squirrel	NA	NA	NA	svulgaris	Sciurus vulgaris	NA	NA	NA	55149	NA
Hucho hucho	Huchen	NA	NA	NA	hhucho	Hucho hucho	NA	NA	NA	62062	NA
Oryzias sinensis	Chinese medaka	NA	NA	NA	osinensis	Oryzias sinensis	NA	NA	NA	183150	NA
Gasterosteus aculeatus aculeatus	Stickleback	NA	NA	NA	gaculeatus	Gasterosteus aculeatus aculeatus	NA	NA	NA	481459	NA
Saimiri boliviensis boliviensis	Bolivian squirrel monkey	NA	NA	NA	sbboliviensis	Saimiri boliviensis boliviensis	NA	NA	NA	39432	NA
Bos grunniens	Domestic yak	NA	NA	NA	bgrunniens	Bos grunniens	NA	NA	NA	30521	NA
Tupaia belangeri	Tree Shrew	NA	NA	NA	tbelangeri	Tupaia belangeri	NA	NA	NA	37347	NA
Notamacropus eugenii	Wallaby	NA	NA	NA	neugenii	Notamacropus eugenii	NA	NA	NA	9315	NA
Anser brachyrhynchus	Pink-footed goose	NA	NA	NA	abrachyrhynchus	Anser brachyrhynchus	NA	NA	NA	132585	NA
Prolemur simus	Greater bamboo lemur	NA	NA	NA	psimus	Prolemur simus	NA	NA	NA	1328070	NA
Caenorhabditis waitukubuli	Caenorhabditis waitukubuli	NA	NA	NA	cawaitprjeb12602	Caenorhabditis waitukubuli	NA	NA	NA	2305864	NA
Amphiprion percula	Orange clownfish	NA	NA	NA	apercula	Amphiprion percula	NA	NA	NA	161767	NA
Esox lucius	Northern pike	NA	NA	NA	elucius	Esox lucius	NA	NA	NA	8010	NA
Leptobrachium leishanense	Leishan spiny toad	NA	NA	NA	lleishanense	Leptobrachium leishanense	NA	NA	NA	445787	NA
Moschus moschiferus	Siberian musk deer	NA	NA	NA	mmoschiferus	Moschus moschiferus	NA	NA	NA	68415	NA
Cervus hanglu yarkandensis	Yarkand deer	NA	NA	NA	chyarkandensis	Cervus hanglu yarkandensis	NA	NA	NA	84702	NA
Ciona savignyi	C.savignyi	NA	NA	NA	csavignyi	Ciona savignyi	NA	NA	NA	51511	NA
Choloepus hoffmanni	Sloth	NA	NA	NA	choffmanni	Choloepus hoffmanni	NA	NA	NA	9358	NA
Procavia capensis	Hyrax	NA	NA	NA	pcapensis	Procavia capensis	NA	NA	NA	9813	NA
Panthera tigris altaica	Tiger	NA	NA	NA	ptaltaica	Panthera tigris altaica	NA	NA	NA	74533	NA
Mus spicilegus	Steppe mouse	NA	NA	NA	mspicilegus	Mus spicilegus	NA	NA	NA	10103	NA
Aphelenchoides fujianensis	Aphelenchoides fujianensis	NA	NA	NA	apfujiprjna834627	Aphelenchoides fujianensis	NA	NA	NA	1052528	NA
Sphenodon punctatus	Tuatara	NA	NA	NA	spunctatus	Sphenodon punctatus	NA	NA	NA	8508	NA
Chrysemys picta bellii	Painted turtle	NA	NA	NA	cpbellii	Chrysemys picta bellii	NA	NA	NA	8478	NA
Amphilophus citrinellus	Midas cichlid	NA	NA	NA	acitrinellus	Amphilophus citrinellus	NA	NA	NA	61819	NA
Oryzias javanicus	Javanese ricefish	NA	NA	NA	ojavanicus	Oryzias javanicus	NA	NA	NA	123683	NA
Eptatretus burgeri	Hagfish	NA	NA	NA	eburgeri	Eptatretus burgeri	NA	NA	NA	7764	NA
Phytophthora lateralis MPF4	Phytophthora lateralis	NA	NA	NA	plateralis	Phytophthora lateralis MPF4	NA	NA	NA	1254522	NA
Plasmodium vivax	Plasmodium vivax	NA	NA	NA	pvivax	Plasmodium vivax	NA	NA	NA	5855	NA
Thalassiosira pseudonana CCMP1335	Thalassiosira pseudonana	NA	NA	NA	tpseudonana	Thalassiosira pseudonana CCMP1335	NA	NA	NA	296543	NA
Entamoeba histolytica HM-1:IMSS	Entamoeba histolytica	NA	NA	NA	ehistolytica	Entamoeba histolytica HM-1:IMSS	NA	NA	NA	294381	NA
Plasmodium chabaudi chabaudi	Plasmodium chabaudi	NA	NA	NA	pchabaudi	Plasmodium chabaudi chabaudi	NA	NA	NA	31271	NA
Steinernema feltiae	Steinernema feltiae (PRJNA353610)	NA	NA	NA	stfeltprjna353610	Steinernema feltiae	NA	NA	NA	52066	NA
Albugo laibachii Nc14	Albugo laibachii	NA	NA	NA	alaibachii	Albugo laibachii Nc14	NA	NA	NA	890382	NA
Leishmania major strain Friedlin	Leishmania major	NA	NA	NA	lmajor	Leishmania major strain Friedlin	NA	NA	NA	347515	NA
Trypanosoma brucei	Trypanosoma brucei	NA	NA	NA	tbrucei	Trypanosoma brucei	NA	NA	NA	5691	NA
Hyaloperonospora arabidopsidis Emoy2	Hyaloperonospora arabidopsidis	NA	NA	NA	harabidopsidis	Hyaloperonospora arabidopsidis Emoy2	NA	NA	NA	559515	NA
Globisporangium ultimum DAOM BR144	Pythium ultimum	NA	NA	NA	pultimum	Globisporangium ultimum DAOM BR144	NA	NA	NA	431595	NA
Pseudo-nitzschia multistriata	Pseudo-nitzschia multistriata	NA	NA	NA	pmultistriata	Pseudo-nitzschia multistriata	NA	NA	NA	183589	NA
Plasmodium knowlesi strain H	Plasmodium knowlesi	NA	NA	NA	pknowlesi	Plasmodium knowlesi strain H	NA	NA	NA	5851	NA
Globisporangium irregulare DAOM BR486	Pythium irregulare	NA	NA	NA	pirregulare	Globisporangium irregulare DAOM BR486	NA	NA	NA	1223557	NA
Phytopythium vexans DAOM BR484	Pythium vexans	NA	NA	NA	pvexans	Phytopythium vexans DAOM BR484	NA	NA	NA	1223560	NA
Globisporangium iwayamae DAOM BR242034	Pythium iwayamai	NA	NA	NA	piwayamai	Globisporangium iwayamae DAOM BR242034	NA	NA	NA	1223558	NA
Caenorhabditis tropicalis	Caenorhabditis tropicalis	NA	NA	NA	catropprjna53597	Caenorhabditis tropicalis	NA	NA	NA	1561998	NA
Phytophthora kernoviae 00238/432	Phytophthora kernoviae	NA	NA	NA	pkernoviae	Phytophthora kernoviae 00238/432	NA	NA	NA	1284355	NA
Phytophthora ramorum	Phytophthora ramorum	NA	NA	NA	pramorum	Phytophthora ramorum	NA	NA	NA	164328	NA
Dictyostelium discoideum AX4	Dictyostelium discoideum	NA	NA	NA	ddiscoideum	Dictyostelium discoideum AX4	NA	NA	NA	352472	NA
Pythium arrhenomanes ATCC 12531	Pythium arrhenomanes	NA	NA	NA	parrhenomanes	Pythium arrhenomanes ATCC 12531	NA	NA	NA	1223556	NA
Giardia lamblia ATCC 50803	Giardia lamblia	NA	NA	NA	glamblia	Giardia lamblia ATCC 50803	NA	NA	NA	184922	NA
Plasmodium berghei ANKA	Plasmodium berghei	NA	NA	NA	pberghei	Plasmodium berghei ANKA	NA	NA	NA	5823	NA
Toxoplasma gondii ME49	Toxoplasma gondii ME49	NA	NA	NA	tgondii	Toxoplasma gondii ME49	NA	NA	NA	508771	NA
Phaeodactylum tricornutum CCAP 1055/1	Phaeodactylum tricornutum	NA	NA	NA	ptricornutum	Phaeodactylum tricornutum CCAP 1055/1	NA	NA	NA	556484	NA
Phytophthora nicotianae P1569	Phytophthora parasitica	NA	NA	NA	pparasitica	Phytophthora nicotianae P1569	NA	NA	NA	1317065	NA
Bigelowiella natans CCMP2755	Bigelowiella natans	NA	NA	NA	bnatans	Bigelowiella natans CCMP2755	NA	NA	NA	753081	NA
Spirometra erinaceieuropaei	Spirometra erinaceieuropaei	NA	NA	NA	sperinprjeb1202	Spirometra erinaceieuropaei	NA	NA	NA	99802	NA
Pythium aphanidermatum DAOM BR444	Pythium aphanidermatum	NA	NA	NA	paphanidermatum	Pythium aphanidermatum DAOM BR444	NA	NA	NA	1223555	NA
Arabis alpina	Arabis alpina	NA	NA	NA	aalpina	Arabis alpina	NA	NA	NA	50452	NA
Oryza sativa aus subgroup	Oryza sativa (circum-Aus2 var. Natel Boro)	NA	NA	NA	osnatelboro	Oryza sativa aus subgroup	NA	NA	NA	1736659	NA
Vicia faba	Vicia faba	NA	NA	NA	vfaba	Vicia faba	NA	NA	NA	3906	NA
Vigna radiata var. radiata	Vigna radiata	NA	NA	NA	vradiata	Vigna radiata var. radiata	NA	NA	NA	3916	NA
Secale cereale	Secale cereale	NA	NA	NA	scereale	Secale cereale	NA	NA	NA	4550	NA
Galdieria sulphuraria	Galdieria sulphuraria	NA	NA	NA	gsulphuraria	Galdieria sulphuraria	NA	NA	NA	130081	NA
Oryza longistaminata	Oryza longistaminata	NA	NA	NA	olongistaminata	Oryza longistaminata	NA	NA	NA	4528	NA
Oryza sativa Indica Group	Oryza sativa (Xian/Indica-3A var. Lima)	NA	NA	NA	oslima	Oryza sativa Indica Group	NA	NA	NA	39946	NA
Eragrostis tef	Eragrostis tef	NA	NA	NA	etef	Eragrostis tef	NA	NA	NA	110835	NA
Levipalatum texanum	Levipalatum texanum	NA	NA	NA	letexaprjna655932	Levipalatum texanum	NA	NA	NA	1486449	NA
Digitaria exilis	Digitaria exilis	NA	NA	NA	dexilis	Digitaria exilis	NA	NA	NA	1010633	NA
Cynara cardunculus var. scolymus	Cynara cardunculus	NA	NA	NA	ccardunculus	Cynara cardunculus var. scolymus	NA	NA	NA	59895	NA
Avena sativa	Avena sativa OT3098	NA	NA	NA	asot3098	Avena sativa	NA	NA	NA	4498	NA
Marchantia polymorpha	Marchantia polymorpha	NA	NA	NA	mpolymorpha	Marchantia polymorpha	NA	NA	NA	3197	NA
Oryza sativa tropical japonica subgroup	Oryza sativa (Geng/Japonica-trop2 var. Ketan Nangka)	NA	NA	NA	osketannangka	Oryza sativa tropical japonica subgroup	NA	NA	NA	1736656	NA
Saccharum spontaneum	Saccharum spontaneum	NA	NA	NA	sspontaneum	Saccharum spontaneum	NA	NA	NA	62335	NA
Chondrus crispus	Chondrus crispus	NA	NA	NA	ccrispus	Chondrus crispus	NA	NA	NA	2769	NA
Leersia perrieri	Leersia perrieri	NA	NA	NA	lperrieri	Leersia perrieri	NA	NA	NA	77586	NA
Oryza glumipatula	Oryza glumipatula	NA	NA	NA	oglumipatula	Oryza glumipatula	NA	NA	NA	40148	NA
Citrullus lanatus	Citrullus lanatus	NA	NA	NA	clanatus	Citrullus lanatus	NA	NA	NA	3654	NA
Paragonimus westermani	Paragonimus westermani (PRJNA219632)	NA	NA	NA	pawestprjna219632	Paragonimus westermani	NA	NA	NA	34504	NA
Oryza rufipogon	Oryza rufipogon	NA	NA	NA	orufipogon	Oryza rufipogon	NA	NA	NA	4529	NA
